Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Label,BinaryLabel
121.29.54.141,443,192.168.10.25,53527,6,239,1,1,0,0,0.0,8368.200837,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
121.29.54.141,443,192.168.10.25,53528,6,1,3,0,0,0,0.0,3000000.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
121.29.54.141,443,192.168.10.25,53527,6,1,2,0,0,0,0.0,2000000.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
138.201.37.241,443,192.168.10.5,55035,6,4,2,0,248,0,62000000.0,500000.0,217,31,124.0,0,0,0.0,155.0,107.3871501,11532.0,232.5,BENIGN,0
144.76.121.178,443,192.168.10.5,55275,6,5,3,0,254,0,50800000.0,600000.0,217,6,84.66666667,0,0,0.0,117.75,115.0575943,13238.25,157.0,BENIGN,0
145.243.233.163,443,192.168.10.5,55277,6,4,2,0,12,0,3000000.0,500000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
151.101.0.166,443,192.168.10.9,8850,6,4,3,0,43,0,10800000.0,750000.0,31,6,14.33333333,0,0,0.0,12.25,12.5,156.25,16.33333333,BENIGN,0
151.101.0.249,80,192.168.10.16,43248,6,54,1,1,0,0,0.0,37037.03704,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
151.101.0.249,443,192.168.10.9,8678,6,42,3,0,43,0,1023809.524,71428.57143,31,6,14.33333333,0,0,0.0,12.25,12.5,156.25,16.33333333,BENIGN,0
151.101.1.108,443,192.168.10.5,55063,6,4,2,0,37,0,9250000.0,500000.0,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
151.101.1.5,443,192.168.10.5,55203,6,3,2,0,37,0,12300000.0,666666.6667,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
151.101.130.2,443,192.168.10.5,55140,6,3,2,0,37,0,12300000.0,666666.6667,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
151.101.130.2,443,192.168.10.5,55180,6,737,2,1,37,6,58344.64043,4070.556309,31,6,18.5,6,6,6.0,18.5,14.43375673,208.3333333,24.66666667,BENIGN,0
151.101.130.2,443,192.168.10.5,55156,6,3,2,0,37,0,12300000.0,666666.6667,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
151.101.2.2,443,192.168.10.5,55096,6,3,2,0,37,0,12300000.0,666666.6667,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
151.101.2.2,443,192.168.10.5,55085,6,3,2,0,37,0,12300000.0,666666.6667,31,6,18.5,0,0,0.0,22.66666667,14.43375673,208.3333333,34.0,BENIGN,0
151.101.44.249,443,192.168.10.9,8689,6,276,3,0,43,0,155797.1014,10869.56522,31,6,14.33333333,0,0,0.0,12.25,12.5,156.25,16.33333333,BENIGN,0
152.163.13.4,443,192.168.10.9,8817,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
152.163.13.4,443,192.168.10.9,8816,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
152.163.56.2,443,192.168.10.9,8886,6,1,2,0,12,0,12000000.0,2000000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
152.163.66.165,80,192.168.10.16,60350,6,105,1,1,6,6,114285.7143,19047.61905,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
152.163.66.165,80,192.168.10.16,60346,6,66,1,1,6,6,181818.1818,30303.0303,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
152.163.66.165,80,192.168.10.16,60352,6,68,1,1,6,6,176470.5882,29411.76471,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
169.60.66.35,443,192.168.10.9,8833,6,48,2,0,12,0,250000.0,41666.66667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.10.238,443,192.168.10.8,9331,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.10.238,443,192.168.10.8,9175,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.10.238,80,192.168.10.9,8693,6,16,1,1,6,6,750000.0,125000.0,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.10.238,80,192.168.10.9,8695,6,63,1,1,6,6,190476.1905,31746.03175,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.10.238,80,192.168.10.9,8690,6,17,1,1,6,6,705882.3529,117647.0588,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.10.238,80,192.168.10.9,8694,6,123,1,1,6,6,97560.97561,16260.1626,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.11.1,443,192.168.10.14,57683,6,4,2,0,12,0,3000000.0,500000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.11.10,443,192.168.10.14,57662,6,4,2,0,12,0,3000000.0,500000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.12.138,443,192.168.10.5,54864,6,49,2,0,12,0,244897.9592,40816.32653,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.12.162,443,192.168.10.14,57680,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.12.162,80,192.168.10.16,60954,6,46,1,1,0,0,0.0,43478.26087,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
172.217.3.98,443,192.168.10.14,57681,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.6.198,443,192.168.10.5,55270,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.6.198,443,192.168.10.5,55271,6,251170,3,0,18,0,71.66460963,11.9441016,6,6,6.0,0,0,0.0,6.0,0.0,0.0,8.0,BENIGN,0
172.217.6.200,443,192.168.10.14,57674,6,49,2,0,12,0,244897.9592,40816.32653,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
172.217.6.206,443,192.168.10.17,50485,6,62,1,1,0,0,0.0,32258.06452,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
172.217.7.132,443,192.168.10.14,57686,6,175,2,1,12,6,102857.1429,17142.85714,6,6,6.0,6,6,6.0,6.0,0.0,0.0,8.0,BENIGN,0
172.217.9.232,80,192.168.10.16,33666,6,37,1,1,0,0,0.0,54054.05405,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
173.241.254.199,443,192.168.10.9,8883,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
173.241.254.199,443,192.168.10.9,8884,6,3,2,0,12,0,4000000.0,666666.6667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
185.167.164.39,443,192.168.10.5,55245,6,96,1,1,6,6,125000.0,20833.33333,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
185.54.150.17,443,192.168.10.5,55150,6,1,2,0,12,0,12000000.0,2000000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
185.86.137.17,443,192.168.10.5,55040,6,48,2,0,12,0,250000.0,41666.66667,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
185.86.137.17,443,192.168.10.5,55039,6,1,2,0,12,0,12000000.0,2000000.0,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
185.86.137.17,443,192.168.10.5,55043,6,999588,2,0,12,0,12.00494604,2.00082434,6,6,6.0,0,0,0.0,6.0,0.0,0.0,9.0,BENIGN,0
185.86.137.17,443,192.168.10.5,55039,6,75,1,1,6,6,160000.0,26666.66667,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
185.86.137.17,443,192.168.10.5,55040,6,32,1,1,6,6,375000.0,62500.0,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
192.168.10.12,27328,192.168.10.3,53,17,71693,2,2,74,176,3487.09079,55.79345264,37,37,37.0,88,88,88.0,57.4,27.93385043,780.3,71.75,BENIGN,0
192.168.10.12,56447,192.168.10.3,53,17,60738,2,2,74,200,4511.179163,65.85663012,37,37,37.0,100,100,100.0,62.2,34.50652112,1190.7,77.75,BENIGN,0
192.168.10.12,50038,192.168.10.50,21,6,126188,20,25,176,440,4881.605224,356.6107712,43,0,8.8,52,0,17.6,13.39130435,15.17816891,230.3768116,13.68888889,BENIGN,0
192.168.10.12,38044,192.168.10.50,34805,6,8003,15,6,19897,0,2486192.678,2624.015994,2896,0,1326.466667,0,0,0.0,904.4090909,1122.979992,1261084.063,947.4761905,BENIGN,0
192.168.10.12,38044,192.168.10.50,34805,6,1,2,0,617,0,617000000.0,2000000.0,617,0,308.5,0,0,0.0,411.3333333,356.2251161,126896.3333,617.0,BENIGN,0
192.168.10.12,50038,192.168.10.50,21,6,50,1,2,0,0,0.0,60000.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
192.168.10.12,39524,192.168.10.50,139,6,75,3,1,4,4,106666.6667,53333.33333,4,0,1.333333333,4,4,4.0,2.4,2.19089023,4.8,3.0,BENIGN,0
192.168.10.12,54990,192.229.163.97,443,6,208,4,0,46,0,221153.8462,19230.76923,46,0,11.5,0,0,0.0,9.2,20.57182539,423.2,11.5,BENIGN,0
192.168.10.12,40124,79.127.127.5,443,6,514004,3,1,0,6,11.67306091,7.782040607,0,0,0.0,6,6,6.0,1.2,2.683281573,7.2,1.5,BENIGN,0
192.168.10.14,57700,104.97.114.112,80,6,60130920,5,3,216,1533,29.08653318,0.133043033,198,0,43.2,1527,0,511.0,194.3333333,503.8834191,253898.5,218.625,BENIGN,0
192.168.10.14,57701,104.97.114.112,80,6,60130912,5,3,213,1619,30.46685871,0.133043051,195,0,42.6,1613,0,539.6666667,203.5555556,532.3326289,283378.0278,229.0,BENIGN,0
192.168.10.14,57683,172.217.11.1,443,6,3895966,5,1,135,46,46.45831098,1.540054508,46,6,27.0,46,46,46.0,32.42857143,18.86670032,355.952381,37.83333333,BENIGN,0
192.168.10.14,57662,172.217.11.10,443,6,3895242,5,1,135,46,46.46694608,1.540340754,46,6,27.0,46,46,46.0,32.42857143,18.86670032,355.952381,37.83333333,BENIGN,0
192.168.10.14,57681,172.217.3.98,443,6,3896308,5,1,135,46,46.45423308,1.539919329,46,6,27.0,46,46,46.0,32.42857143,18.86670032,355.952381,37.83333333,BENIGN,0
192.168.10.14,57674,172.217.6.200,443,6,3895052,5,1,135,46,46.46921273,1.540415892,46,6,27.0,46,46,46.0,32.42857143,18.86670032,355.952381,37.83333333,BENIGN,0
192.168.10.14,57686,172.217.7.132,443,6,3896461,5,1,135,46,46.45240899,1.539858862,46,6,27.0,46,46,46.0,32.42857143,18.86670032,355.952381,37.83333333,BENIGN,0
192.168.10.14,62449,192.168.10.3,53,17,31020664,8,4,372,452,26.56293882,0.386838915,52,41,46.5,157,69,113.0,67.38461538,40.8606136,1669.589744,73.0,BENIGN,0
192.168.10.14,53279,192.168.10.3,53,17,83718,4,2,184,300,5781.313457,71.66917509,46,46,46.0,150,150,150.0,75.71428571,50.74680379,2575.238095,88.33333333,BENIGN,0
192.168.10.14,57702,192.168.10.3,445,6,10706606,29,24,8142,4220,1154.614263,4.950214849,3072,0,280.7586207,420,0,175.8333333,228.9259259,492.9078084,242958.1076,233.245283,BENIGN,0
192.168.10.14,57699,23.53.113.190,80,6,60166984,6,4,237,4593,80.27658491,0.16620411,213,0,39.5,2920,0,1148.25,439.0909091,960.7303945,923002.8909,483.0,BENIGN,0
192.168.10.15,51561,192.168.10.3,53,17,24027,2,2,68,100,6992.133849,166.4793774,34,34,34.0,50,50,50.0,40.4,8.76356092,76.8,50.5,BENIGN,0
192.168.10.15,58019,205.174.165.73,8080,6,1029807,3,3,0,18,17.47900335,5.826334449,0,0,0.0,6,6,6.0,2.571428571,3.207134903,10.28571429,3.0,BENIGN,0
192.168.10.16,34314,151.101.0.175,80,6,2979847,2,1,0,0,0.0,1.006763099,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
192.168.10.16,60344,152.163.66.165,80,6,28315,1,1,6,6,423.8036376,70.63393961,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
192.168.10.16,60354,152.163.66.165,80,6,28466,1,1,6,6,421.5555399,70.25925666,6,6,6.0,6,6,6.0,6.0,0.0,0.0,9.0,BENIGN,0
192.168.10.16,50350,172.217.10.238,443,6,101027175,14,12,1029,991,19.99462026,0.257356498,460,0,73.5,456,0,82.58333333,76.51851852,136.7390469,18697.56695,79.46153846,BENIGN,0
192.168.10.16,46939,192.168.10.3,53,17,330,2,2,74,198,824242.4242,12121.21212,37,37,37.0,99,99,99.0,61.8,33.95879857,1153.2,77.25,BENIGN,0
192.168.10.16,65191,192.168.10.3,53,17,221,2,2,74,106,814479.638,18099.54751,37,37,37.0,53,53,53.0,43.4,8.76356092,76.8,54.25,BENIGN,0
192.168.10.16,26091,192.168.10.3,53,17,302,2,2,70,460,1754966.887,13245.03311,35,35,35.0,230,230,230.0,113.0,106.8058987,11407.5,141.25,BENIGN,0
192.168.10.16,9278,192.168.10.3,53,17,283,2,2,70,460,1872791.519,14134.27562,35,35,35.0,230,230,230.0,113.0,106.8058987,11407.5,141.25,BENIGN,0
192.168.10.16,61116,192.168.10.3,53,17,166,2,2,70,302,2240963.855,24096.38554,35,35,35.0,151,151,151.0,81.4,63.53581667,4036.8,101.75,BENIGN,0
192.168.10.16,49854,192.168.10.3,53,17,275,2,2,80,290,1345454.545,14545.45455,40,40,40.0,145,145,145.0,82.0,57.51086854,3307.5,102.5,BENIGN,0
192.168.10.16,2022,192.168.10.3,53,17,266,2,2,80,326,1526315.789,15037.59398,40,40,40.0,163,163,163.0,89.2,67.36987457,4538.7,111.5,BENIGN,0
192.168.10.16,54866,192.168.10.3,53,17,102033,2,2,64,196,2548.195192,39.20300295,32,32,32.0,98,98,98.0,58.4,36.1496888,1306.8,73.0,BENIGN,0
192.168.10.16,50390,192.168.10.3,53,17,51453,2,2,64,204,5208.637009,77.74085087,32,32,32.0,102,102,102.0,60.0,38.34057903,1470.0,75.0,BENIGN,0
192.168.10.16,37335,192.168.10.3,53,17,1140,2,2,72,246,278947.3684,3508.77193,36,36,36.0,123,123,123.0,70.8,47.6518625,2270.7,88.5,BENIGN,0
192.168.10.16,57626,192.168.10.3,53,17,293,2,2,72,328,1365187.713,13651.87713,36,36,36.0,164,164,164.0,87.2,70.10848736,4915.2,109.0,BENIGN,0
192.168.10.16,38354,192.168.10.50,22,6,1333970,41,42,2664,6954,7210.057198,62.22028981,456,0,64.97560976,976,0,165.5714286,114.5,243.3458791,59217.21687,115.8795181,BENIGN,0
192.168.10.16,38354,192.168.10.50,22,6,187,1,1,0,0,0.0,10695.18717,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
192.168.10.16,38364,192.168.10.50,22,6,1335604,41,42,2728,6634,7009.562715,62.14416848,456,0,66.53658537,976,0,157.952381,111.452381,241.6427915,58391.23867,112.7951807,BENIGN,0
192.168.10.16,38364,192.168.10.50,22,6,111,1,1,0,0,0.0,18018.01802,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
192.168.10.16,41936,199.244.48.55,443,6,143347,47,60,1325,108751,767898.8748,746.4404557,570,0,28.19148936,2896,0,1812.516667,1019.222222,1082.537011,1171886.38,1028.747664,BENIGN,0
192.168.10.16,41944,199.244.48.55,443,6,143899,46,58,1325,110185,774918.5192,722.7291364,570,0,28.80434783,4344,0,1899.741379,1062.0,1169.249973,1367145.5,1072.211538,BENIGN,0
192.168.10.16,41942,199.244.48.55,443,6,142605,45,58,1325,108751,771894.3936,722.274815,570,0,29.44444444,4344,0,1875.017241,1058.423077,1174.336455,1379066.111,1068.699029,BENIGN,0
192.168.10.16,41940,199.244.48.55,443,6,142499,46,53,1313,100063,711415.5187,694.7417175,570,0,28.54347826,4344,0,1887.981132,1013.76,1166.938246,1361744.871,1024.0,BENIGN,0
192.168.10.16,41938,199.244.48.55,443,6,23828,27,31,162,59368,2498321.303,2434.11113,6,6,6.0,2896,0,1915.096774,1009.084746,1114.299614,1241663.631,1026.482759,BENIGN,0
192.168.10.16,41946,199.244.48.55,443,6,119090,23,28,1169,45025,387891.5106,428.2475439,570,0,50.82608696,2896,0,1608.035714,888.3461538,1028.323762,1057449.76,905.7647059,BENIGN,0
192.168.10.16,41946,199.244.48.55,443,6,23841,26,31,156,59368,2496707.353,2390.83931,6,6,6.0,4344,0,1915.096774,1026.37931,1148.503005,1319059.152,1044.385965,BENIGN,0
192.168.10.16,41950,199.244.48.55,443,6,199037,47,63,1325,100049,509322.3873,552.661063,570,0,28.19148936,2896,0,1588.079365,913.2792793,947.8815919,898479.5122,921.5818182,BENIGN,0
192.168.10.16,41948,199.244.48.55,443,6,142923,46,60,1307,95705,678771.0865,741.6580956,570,0,28.41304348,2896,0,1595.083333,906.6542056,936.5510503,877127.8699,915.2075472,BENIGN,0
192.168.10.16,41956,199.244.48.55,443,6,446800,23,28,1169,43577,100147.7171,114.1450313,570,0,50.82608696,2896,0,1556.321429,860.5,1032.46861,1065991.431,877.372549,BENIGN,0
192.168.10.16,41954,199.244.48.55,443,6,141851,47,55,1325,98601,704443.3948,719.0643704,570,0,28.19148936,4344,0,1792.745455,970.1553398,1111.09528,1234532.721,979.6666667,BENIGN,0
192.168.10.16,41952,199.244.48.55,443,6,145376,51,60,1331,110185,767086.7268,763.5373101,570,0,26.09803922,4344,0,1836.416667,995.6785714,1110.930429,1234166.418,1004.648649,BENIGN,0
192.168.10.16,41958,199.244.48.55,443,6,142904,47,56,1313,104393,739699.3786,720.7635895,570,0,27.93617021,4344,0,1864.160714,1016.403846,1132.91297,1283491.796,1026.271845,BENIGN,0
192.168.10.16,41964,199.244.48.55,443,6,142508,50,59,1331,104393,741881.1575,764.8693407,570,0,26.62,2896,0,1769.372881,961.1272727,1054.705038,1112402.718,969.9449541,BENIGN,0
192.168.10.16,41962,199.244.48.55,443,6,142561,48,59,1319,110185,782149.3957,750.5559024,570,0,27.47916667,4344,0,1867.542373,1032.444444,1131.941574,1281291.726,1042.093458,BENIGN,0
192.168.10.16,41960,199.244.48.55,443,6,142389,52,60,1337,110185,783220.614,786.5776148,570,0,25.71153846,2896,0,1836.416667,986.920354,1092.874079,1194373.753,995.7321429,BENIGN,0
192.168.10.16,41970,199.244.48.55,443,6,142403,45,58,1319,103922,739036.3967,723.2993687,570,0,29.31111111,4344,0,1791.758621,1011.932692,1113.933312,1240847.423,1021.757282,BENIGN,0
192.168.10.16,41968,199.244.48.55,443,6,142089,45,55,1313,104393,743942.1771,703.7842479,570,0,29.17777778,4344,0,1898.054545,1046.594059,1172.156919,1373951.844,1057.06,BENIGN,0
192.168.10.16,41966,199.244.48.55,443,6,142098,49,58,1325,104393,743979.5071,753.0014497,570,0,27.04081633,2896,0,1799.87931,978.8703704,1074.666956,1154909.067,988.0186916,BENIGN,0
192.168.10.16,41976,199.244.48.55,443,6,128912,21,26,1169,43577,347105.0019,364.5897977,570,0,55.66666667,2896,0,1676.038462,932.2083333,1085.203284,1177666.168,952.0425532,BENIGN,0
192.168.10.16,41974,199.244.48.55,443,6,143215,50,61,1337,110185,778703.3481,775.0584785,570,0,26.74,4344,0,1806.311475,995.7321429,1093.746154,1196280.648,1004.702703,BENIGN,0
192.168.10.16,41972,199.244.48.55,443,6,185921,48,58,1337,105841,576470.6515,570.1346271,570,0,27.85416667,4344,0,1824.844828,1001.663551,1143.37138,1307298.112,1011.113208,BENIGN,0
192.168.10.16,41978,199.244.48.55,443,6,131198,29,50,1169,92809,716306.651,602.1433254,570,0,40.31034483,4344,0,1856.18,1174.725,1147.810364,1317468.632,1189.594937,BENIGN,0
192.168.10.16,41980,199.244.48.55,443,6,187746,48,64,1331,100049,539984.8732,596.5506589,570,0,27.72916667,4344,0,1563.265625,897.1681416,947.0850477,896970.0875,905.1785714,BENIGN,0
192.168.10.16,41984,199.244.48.55,443,6,188450,47,59,1325,100049,537935.792,562.4834174,570,0,28.19148936,2896,0,1695.745763,947.4205607,1028.579072,1057974.906,956.3584906,BENIGN,0
192.168.10.16,41982,199.244.48.55,443,6,300724,49,65,1325,102959,346776.4462,379.0851412,570,0,27.04081633,2896,0,1583.984615,906.8173913,960.7927427,923122.6944,914.7719298,BENIGN,0
192.168.10.16,41990,199.244.48.55,443,6,195652,49,60,1343,105841,547829.8203,557.1116063,570,0,27.40816327,2896,0,1764.016667,974.4,1069.66603,1144185.417,983.3394495,BENIGN,0
192.168.10.16,41988,199.244.48.55,443,6,143173,51,58,1337,104393,738477.2269,761.3167287,570,0,26.21568627,2896,0,1799.87931,961.1818182,1072.738955,1150768.866,970.0,BENIGN,0
192.168.10.16,41986,199.244.48.55,443,6,142748,47,57,1325,108751,771121.1365,728.5566173,570,0,28.19148936,4344,0,1907.912281,1048.342857,1156.089794,1336543.612,1058.423077,BENIGN,0
192.168.10.16,41992,199.244.48.55,443,6,142235,47,57,1319,101497,722860.0555,731.1843077,570,0,28.06382979,4344,0,1780.649123,979.2,1083.923681,1174890.546,988.6153846,BENIGN,0
192.168.10.16,41998,199.244.48.55,443,6,152597,42,51,1283,95705,635582.613,609.4484164,570,0,30.54761905,4344,0,1876.568627,1031.787234,1168.531179,1365465.116,1042.88172,BENIGN,0
192.168.10.16,41996,199.244.48.55,443,6,142263,47,58,1331,104393,743158.7974,738.0696316,570,0,28.31914894,4344,0,1799.87931,997.3962264,1094.593699,1198135.365,1006.895238,BENIGN,0
192.168.10.16,41994,199.244.48.55,443,6,142478,49,57,1325,104393,741995.2554,743.9745083,570,0,27.04081633,2896,0,1831.45614,988.0186916,1093.727985,1196240.905,997.3396226,BENIGN,0
192.168.10.16,42006,199.244.48.55,443,6,125417,29,55,1169,98601,795506.1913,669.7656618,570,0,40.31034483,4344,0,1792.745455,1173.764706,1099.595333,1209109.896,1187.738095,BENIGN,0
192.168.10.16,42004,199.244.48.55,443,6,188411,43,59,1313,105841,568724.756,541.3696653,570,0,30.53488372,4344,0,1793.915254,1040.330097,1165.886134,1359290.478,1050.529412,BENIGN,0
192.168.10.16,42002,199.244.48.55,443,6,141785,44,55,1313,93786,670726.8047,698.2402934,570,0,29.84090909,2896,0,1705.2,950.99,1025.08183,1050792.757,960.5959596,BENIGN,0
192.168.10.16,42000,199.244.48.55,443,6,155181,78,106,1457,215903,1400686.94,1185.712168,570,0,18.67948718,4344,0,2036.820755,1174.918919,1214.829823,1475811.499,1181.304348,BENIGN,0
192.168.10.16,42014,199.244.48.55,443,6,200946,47,56,1325,100049,504483.7917,512.5755178,570,0,28.19148936,2896,0,1786.589286,974.75,1088.131334,1184029.801,984.2135922,BENIGN,0
